STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",19-03-1960,,,,,,1706,0,,0,0,,44,35,,,,,270,,,,,,23,,1,,,,,,,1,,,,,,,1,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",20-03-1960,,,,,,1306,0,,0,0,,46,32,,,,,180,,,,,,20.8,,,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",21-03-1960,,,,,,2236,0,,0,0,,41,28,,,,,293,,,,,,27.5,,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",22-03-1960,,,,,,2306,0,,0,0,,32,23,,,,,293,,,,,,25.3,,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",23-03-1960,,,,,,1012,0,,0,0,,40,25,,,,,315,,,,,,34.4,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",24-03-1960,,,,,,2006,0,,0,0,,46,27,,,,,270,,,,,,34.4,,,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",25-03-1960,,,,,,924,0,,0,0,,33,16,,,,,315,,,,,,40.3,,,,,,,,,,,,,,,,,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",26-03-1960,,,,,,1506,0,,0,0,,37,13,,,,,225,,,,,,34.4,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",27-03-1960,,,,,,1700,0,,0,0,,50,31,,,,,225,,,,,,33.3,,,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",28-03-1960,,,,,,18,0,,0,0,,62,39,,,,,248,,,,,,33.3,,,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",29-03-1960,,,,,,1612,0,,0,0,,42,34,,,,,113,,,,,,20.8,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",30-03-1960,,,,,,2054,0.06,,0,0,,57,38,,,,,203,,,,,,32.2,,1,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",31-03-1960,,,,,,54,0.55,,0,0,,58,50,,,,,203,,,,,,33.3,,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",01-04-1960,,,,,,1106,0.35,,0,0,,50,38,,,,,23,,,,,,19.5,,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",02-04-1960,,,,,,1154,0,,0,0,,40,35,,,,,90,,,,,,24.2,,,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",03-04-1960,,,,,,1412,0.33,,0,0,,47,35,,,,,113,,,,,,18.3,,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",04-04-1960,,,,,,436,0.37,,0,0,,58,38,,,,,203,,,,,,34.4,,1,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",05-04-1960,,,,,,1648,1.38,,0,0,,53,38,,,,,315,,,,,,38,,1,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",06-04-1960,,,,,,1300,0,,0,0,,43,35,,,,,270,,,,,,35.6,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",07-04-1960,,,,,,1742,0,,0,0,,51,34,,,,,293,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",08-04-1960,,,,,,1930,0.22,,0,0,,47,36,,,,,293,,,,,,26.4,,1,,,,,,,1,,,,,,,1,,1,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",09-04-1960,,,,,,1748,0.09,,0,0,,49,37,,,,,315,,,,,,33.3,,1,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",10-04-1960,,,,,,954,0,,0,0,,51,36,,,,,338,,,,,,30,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",11-04-1960,,,,,,1800,0,,0,0,,53,31,,,,,203,,,,,,33.3,,,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",12-04-1960,,,,,,1448,0.11,,0,0,,66,40,,,,,293,,,,,,47.2,,,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",13-04-1960,,,,,,1248,0,,0,0,,63,45,,,,,315,,,,,,32.2,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",14-04-1960,,,,,,1212,0,,0,0,,70,42,,,,,158,,,,,,24.2,,,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",15-04-1960,,,,,,1412,0,,0,0,,78,46,,,,,293,,,,,,32.2,,,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",16-04-1960,,,,,,42,0.03,,0,0,,63,44,,,,,68,,,,,,23,,,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",17-04-1960,,,,,,2330,0,,0,0,,60,42,,,,,203,,,,,,27.5,,1,,,,,,,1,,,,,,,1,,,,,
